model,dataset,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max,baseline_dataset,absmax_abs_diff_from_baseline,absmax_rel_diff_from_baseline,width_abs_diff_from_baseline,width_rel_diff_from_baseline
OPT-350M,winogrande,19,value,1,-0.025949624173737175,0.01866262807748218,0.044612252251219356,0.025949624173737175,wikitext,-0.03758667486216708,-0.5915779709,-0.06403119162067782,-0.589370047
OPT-350M,winogrande,19,value,2,-0.0021969919234820024,-0.0021693884573682804,2.7603466113722015e-05,0.0021969919234820024,wikitext,-0.006846016799675516,-0.7570507791,2.665317362113154e-05,28.04733682
OPT-350M,winogrande,20,value,0,-1.454855758558603,1.441916883509274,2.896772642067877,1.454855758558603,wikitext,-0.09278109871090057,-0.05995017389,-0.179399232932123,-0.05831898874
OPT-350M,winogrande,20,value,1,-0.015191014206305958,0.02403136436263689,0.039222378568942846,0.02403136436263689,wikitext,-0.030972133254827647,-0.5630938867,-0.05810337255306513,-0.5969989636
OPT-350M,winogrande,20,value,2,0.002370195305996649,0.0023932728884063937,2.3077582409744817e-05,0.0023932728884063937,wikitext,-0.00378569798959948,-0.6126745156,2.2185203650021846e-05,24.86074821
OPT-350M,winogrande,21,value,0,-1.4371319584895421,1.4719745060921468,2.909106464581689,1.4719745060921468,wikitext,-0.0884961831809028,-0.05671121142,-0.18271118834384303,-0.0590950725
OPT-350M,winogrande,21,value,1,-0.009731356327987226,0.037239947842159137,0.04697130417014636,0.037239947842159137,wikitext,-0.02284461831475576,-0.3802077601,-0.05287864024890285,-0.5295810684
OPT-350M,winogrande,21,value,2,0.009251979550886268,0.009283779734406023,3.180018351975518e-05,0.009283779734406023,wikitext,-0.0007436153381522245,-0.0741583764,3.11086005491696e-05,44.98173303
OPT-350M,winogrande,22,value,0,-1.293706374556038,1.3168178398776638,2.6105242144337018,1.3168178398776638,wikitext,-0.10207899079609506,-0.07194250392,-0.2062560382258729,-0.07322404296
OPT-350M,winogrande,22,value,1,-0.010916240966122454,0.02648458202334963,0.03740082298947209,0.02648458202334963,wikitext,-0.027537375049456223,-0.5097441215,-0.0559691141226733,-0.5994339919
OPT-350M,winogrande,22,value,2,0.004368511493881575,0.004391257887104881,2.274639322330605e-05,0.004391257887104881,wikitext,-0.0027845888383860413,-0.3880502113,2.209835123436442e-05,34.10018426
