model,gpu,layer,tensor_type,group_index,lower_threshold,upper_threshold,width,abs_max
OPT-1.3B,RTX 5060,16,value,1,-0.056295841298204786,0.05383019413508422,0.110126035433289,0.056295841298204786
OPT-1.3B,RTX 5060,16,value,2,-0.001223425070444743,-0.001223023901594446,4.011688502969426e-07,0.001223425070444743
OPT-1.3B,RTX 5060,17,value,0,-1.8340328568262412,1.8443317819148937,3.678364638741135,1.8443317819148937
OPT-1.3B,RTX 5060,17,value,1,-0.05614108904033688,0.059423568400930854,0.11556465744126773,0.059423568400930854
OPT-1.3B,RTX 5060,17,value,2,0.0016356376891440534,0.0016362831947651314,6.455056210780651e-07,0.0016362831947651314
OPT-1.3B,RTX 5060,18,value,0,-1.9821656139184398,1.9839386635638299,3.9661042774822697,1.9839386635638299
OPT-1.3B,RTX 5060,18,value,1,-0.0608966367464539,0.06485483156028368,0.12575146830673758,0.06485483156028368
OPT-1.3B,RTX 5060,18,value,2,0.001962678652283148,0.001963045580167297,3.6692788414919783e-07,0.001963045580167297
OPT-1.3B,RTX 5060,19,value,0,-2.177582003546099,2.225288120567376,4.402870124113475,2.225288120567376
OPT-1.3B,RTX 5060,19,value,1,-0.061068703942265073,0.07911238433621454,0.1401810882784796,0.07911238433621454
OPT-1.3B,RTX 5060,19,value,2,0.008776776334072681,0.00877738506235975,6.08728287068705e-07,0.00877738506235975
OPT-1.3B,RTX 5060,20,value,0,-2.321739250886525,2.28515625,4.606895500886525,2.321739250886525
OPT-1.3B,RTX 5060,20,value,1,-0.0824043869126773,0.06360447660405585,0.14600886351673315,0.0824043869126773
OPT-1.3B,RTX 5060,20,value,2,-0.009169252206247749,-0.009168513277743725,7.389285040237947e-07,0.009169252206247749
OPT-1.3B,RTX 5060,21,value,0,-2.446739250886525,2.449925199468085,4.89666445035461,2.449925199468085
OPT-1.3B,RTX 5060,21,value,1,-0.07410815083388742,0.08256541583554965,0.15667356666943705,0.08256541583554965
OPT-1.3B,RTX 5060,21,value,2,0.004118248080530911,0.004118982359027186,7.342784962751508e-07,0.004118982359027186
OPT-1.3B,RTX 5060,22,value,0,-2.6888436391843973,2.668675199468085,5.357518838652482,2.6888436391843973
OPT-1.3B,RTX 5060,22,value,1,-0.08435101881094859,0.08949312250664894,0.1738441413175975,0.08949312250664894
OPT-1.3B,RTX 5060,22,value,2,0.0025236813734609183,0.0025243552018564645,6.738283955462498e-07,0.0025243552018564645
OPT-1.3B,RTX 5060,23,value,0,-2.1191544769503547,2.114389406028369,4.233543882978724,2.1191544769503547
OPT-1.3B,RTX 5060,23,value,1,-0.06662744833222518,0.06659563213375443,0.1332230804659796,0.06662744833222518
OPT-1.3B,RTX 5060,23,value,2,-8.374241226953817e-07,-3.977870264797346e-07,4.396370962156471e-07,8.374241226953817e-07
OPT-2.7B,RTX 5060,0,key,0,-1.7013450243794326,1.7239860372340425,3.425331061613475,1.7239860372340425
OPT-2.7B,RTX 5060,0,key,1,-0.043092768243018616,0.049460336671653365,0.09255310491467197,0.049460336671653365
OPT-2.7B,RTX 5060,0,key,2,0.003186824473928898,0.003186980037824482,1.5556389558425351e-07,0.003186980037824482
OPT-2.7B,RTX 5060,1,key,0,-11.275432180851064,11.48864140070922,22.764073581560282,11.48864140070922
OPT-2.7B,RTX 5060,1,key,1,-0.17889101285460993,0.20258477393617022,0.38147578679078015,0.20258477393617022
OPT-2.7B,RTX 5060,1,key,2,0.01078648939200327,0.010787950339892232,1.4609478889617694e-06,0.010787950339892232
OPT-2.7B,RTX 5060,2,key,0,-11.80712544326241,12.027426861702128,23.83455230496454,12.027426861702128
OPT-2.7B,RTX 5060,2,key,1,-0.1821453554410461,0.22261902288342197,0.4047643783244681,0.22261902288342197
OPT-2.7B,RTX 5060,2,key,2,0.0199581984932541,0.019959497113599844,1.298620345743795e-06,0.019959497113599844
OPT-2.7B,RTX 5060,3,key,0,-7.866605718085107,7.838458554964539,15.705064273049647,7.866605718085107
OPT-2.7B,RTX 5060,3,key,1,-0.1029684729609929,0.25686710438829785,0.3598355773492907,0.25686710438829785
OPT-2.7B,RTX 5060,3,key,2,0.0758645348515071,0.07586540059840426,8.657468971579041e-07,0.07586540059840426
OPT-2.7B,RTX 5060,4,key,0,-11.144669769503546,10.626496010638299,21.771165780141843,11.144669769503546
